Date,Fund,Product,Book,ProductClass,Vega Notional,Financial PnL, NAV 
9/11/2020,VISTA MACRO MASTER FIM,Swap SPX VAR 756.25 CAP 2.5 31AUG2020 20NOV2020,Vol_SPX/NDX_,Variance Swap,-10000.36,-114377.7724,735145228.88
9/11/2020,VISTA MACRO MASTER FIM,Swap NDX VAR 1455.4225 01SEP2020 20NOV2020,Vol_SPX/NDX_,Variance Swap,-30000.00,279980.4407,735145228.88
9/11/2020,VISTA MACRO MASTER FIM,Swap NDX VAR 1369 CAP 2.5 31AUG2020 20NOV2020,Vol_SPX/NDX_,Variance Swap,10000.10,92001.70838,735145228.88
9/11/2020,VISTA MACRO MASTER FIM,Swap SPX VAR 832.3225 01SEP2020 20NOV2020,Vol_SPX/NDX_,Variance Swap,30000.00,-347457.3469,735145228.88
9/11/2020,VISTA MACRO MASTER FIM,Swap SPX VAR 870.25 CAP 2.5 11SEP2020 18DEC2020,Vol_SPX/NDX_,Variance Swap,-9999.91,-40090.22268,735145228.88
9/10/2020,VISTA MACRO MASTER FIM,Swap NDX VAR 1369 CAP 2.5 31AUG2020 20NOV2020,Vol_SPX/NDX_,Variance Swap,-10000.36,-819.760544,745649274.29
9/10/2020,VISTA MACRO MASTER FIM,Swap SPX VAR 756.25 CAP 2.5 31AUG2020 20NOV2020,Vol_SPX/NDX_,Variance Swap,-30000.00,45347.66109,745649274.29
9/10/2020,VISTA MACRO MASTER FIM,Swap NDX VAR 1455.4225 01SEP2020 20NOV2020,Vol_SPX/NDX_,Variance Swap,10000.10,-2059.726602,745649274.29
9/10/2020,VISTA MACRO MASTER FIM,Swap SPX VAR 832.3225 01SEP2020 20NOV2020,Vol_SPX/NDX_,Variance Swap,30000.00,136881.3614,745649274.29
9/9/2020,VISTA MACRO MASTER FIM,Swap NDX VAR 1455.4225 01SEP2020 20NOV2020,Vol_SPX/NDX_,Variance Swap,-10000.36,344948.8833,729248693.66
9/9/2020,VISTA MACRO MASTER FIM,Swap SPX VAR 756.25 CAP 2.5 31AUG2020 20NOV2020,Vol_SPX/NDX_,Variance Swap,-30000.00,-115110.4307,729248693.66
9/9/2020,VISTA MACRO MASTER FIM,Swap SPX VAR 832.3225 01SEP2020 20NOV2020,Vol_SPX/NDX_,Variance Swap,10000.10,-346471.6716,729248693.66
9/9/2020,VISTA MACRO MASTER FIM,Swap NDX VAR 1369 CAP 2.5 31AUG2020 20NOV2020,Vol_SPX/NDX_,Variance Swap,30000.00,114304.082,729248693.66
9/8/2020,VISTA MACRO MASTER FIM,Swap SPX VAR 832.3225 01SEP2020 20NOV2020,Vol_SPX/NDX_,Variance Swap,-10000.36,46957.30017,737974655.13
9/8/2020,VISTA MACRO MASTER FIM,Swap SPX VAR 756.25 CAP 2.5 31AUG2020 20NOV2020,Vol_SPX/NDX_,Variance Swap,-30000.00,16136.03354,737974655.13
9/8/2020,VISTA MACRO MASTER FIM,Swap NDX VAR 1369 CAP 2.5 31AUG2020 20NOV2020,Vol_SPX/NDX_,Variance Swap,10000.10,24315.10735,737974655.13
9/8/2020,VISTA MACRO MASTER FIM,Swap NDX VAR 1455.4225 01SEP2020 20NOV2020,Vol_SPX/NDX_,Variance Swap,30000.00,75366.63559,737974655.13
9/4/2020,VISTA MACRO MASTER FIM,Swap NDX VAR 1455.4225 01SEP2020 20NOV2020,Vol_SPX/NDX_,Variance Swap,-10000.36,237079.5849,741613143.01
9/4/2020,VISTA MACRO MASTER FIM,Swap SPX VAR 832.3225 01SEP2020 20NOV2020,Vol_SPX/NDX_,Variance Swap,-30000.00,-583918.8954,741613143.01
9/4/2020,VISTA MACRO MASTER FIM,Swap SPX VAR 756.25 CAP 2.5 31AUG2020 20NOV2020,Vol_SPX/NDX_,Variance Swap,10000.10,-192472.8692,741613143.01
